period,state,price,sales
2023-08-01,Connecticut,27.89,1254.28
2023-08-01,Colorado,14.43,2283.89
2023-08-01,California,29.84,9858.22
2023-08-01,Arkansas,12.45,2195.25
2023-08-01,Arizona,13.82,5281.55
2023-08-01,Alaska,25.07,146.59
2023-08-01,Alabama,14.14,3773.73
2023-08-01,U.S. Total,15.93,162030.77
2023-08-01,Pacific Noncontiguous,33.87,390.29
2023-08-01,Pacific Contiguous,24.16,14397.86
2023-08-01,Mountain,13.94,12933.55
2023-08-01,West South Central,13.45,31374.56
2023-08-01,East South Central,12.8,13255.7
2023-08-01,South Atlantic,14.38,41791.03
2023-08-01,West North Central,14.26,11057.49
2023-08-01,East North Central,15.76,18420.18
2023-08-01,Vermont,20.45,180.21
2023-08-01,Utah,11.67,1262.37
2023-08-01,Texas,14.01,22180.49
2023-08-01,Tennessee,11.99,4494.21
2023-08-01,South Dakota,12.99,463.27
2023-08-01,South Carolina,13.82,3745.07
2023-08-01,Nevada,16.47,1739.98
2023-08-01,New Hampshire,26.18,438.4
2023-08-01,New Jersey,18.5,3278.33
2023-08-01,New Mexico,14.71,849.02
2023-08-01,New York,22.33,5356.92
2023-08-01,North Carolina,13.04,6507.4
2023-07-01,Indiana,14.48,3337.07
2023-07-01,U.S. Total,15.89,160085.14
2023-07-01,Middle Atlantic,19.73,14872.73
2023-07-01,New England,26.97,4989.06
2023-07-01,Wyoming,12.41,217.63
2023-07-01,Wisconsin,16.94,2254.83
2023-07-01,West Virginia,14.1,932.32
2023-07-01,Washington,11.16,2704.19
2023-07-01,Virginia,13.97,4470.18
2023-07-01,Vermont,20.44,203.81
2023-07-01,Utah,11.73,1391.05
2023-07-01,Texas,13.8,20218.44
2023-07-01,Tennessee,12.31,4206.66
2023-07-01,South Dakota,13.23,414.26
2023-07-01,South Carolina,13.61,3744.81
2023-07-01,Rhode Island,25.79,370.44
2023-07-01,Pennsylvania,17.94,5327.87
2023-07-01,Pacific Noncontiguous,34.27,375.51
2023-07-01,Pacific Contiguous,23.34,12698.66
2023-07-01,Oregon,13.12,1685.66
2023-07-01,Oklahoma,12.46,2935.36
2023-07-01,Ohio,15.85,5251.41
2023-07-01,Mountain,14.05,13899.38
2023-07-01,West South Central,13.24,28933.73
2023-07-01,East South Central,13.05,12651.3
2023-07-01,South Atlantic,14.33,41431.38
2023-07-01,West North Central,14.37,10840.54
2023-07-01,East North Central,16.13,19392.84
2023-07-01,Illinois,14.93,5017.69
2023-07-01,Idaho,11.82,904.38
2023-07-01,Hawaii,39.98,233.42
2023-07-01,Georgia,14.35,7045.56
2023-07-01,Florida,14.97,14861.8
